;;;;;;;Human;Human;Human;Elenco;Elenco;Elenco;Espião Estatístico;Espião Estatístico;Espião Estatístico;UFMG;UFMG;UFMG;Chance de Gol;Chance de Gol;Chance de Gol;Five-Thirty-Eight;Five-Thirty-Eight;Five-Thirty-Eight;MaiaE0;MaiaE0;MaiaE0;Betting House;Betting House;Betting House
date;round;home_team;home_score;away_score;away_team;result;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A
17/06/2021;4;Fluminense;1;0;Santos;H;0.59;0.24;0.17;0.53;0.26;0.21;0.47;0.23;0.3;0.4666;0.2667;0.2667;0.61;0.226;0.164;0.47;0.26;0.27;0.450000560446985;0.268109524928289;0.281889914624726;0.4229;0.2907;0.2862
17/06/2021;4;Sport;1;0;Grêmio;H;0.27;0.32;0.41;0.37;0.28;0.35;0.29;0.3;0.41;0.4122;0.2634;0.3244;0.187;0.267;0.545;0.32;0.26;0.42;0.258342784678831;0.28165789210609;0.459999323215079;0.2463;0.2799;0.4737
17/06/2021;4;Atlético-GO;0;0;Fortaleza;D;0.43;0.31;0.26;0.44;0.27;0.29;0.24;0.4;0.36;0.41;0.27;0.32;0.383;0.293;0.325;0.43;0.27;0.3;0.452235407558973;0.288803148122476;0.258961444318552;0.371;0.3091;0.3198
02/11/2021;4;Athletico-PR;2;2;Flamengo;D;0.31;0.29;0.4;0.28;0.25;0.47;;;;;;;0.227;0.23;0.543;0.26;0.26;0.48;0.301435268607144;0.257349186390708;0.441215545002148;0.2158;0.2921;0.4919
19/06/2021;5;Flamengo;2;3;Bragantino;A;0.61;0.22;0.17;0.62;0.21;0.17;0.4;0.26;0.34;0.42;0.2437;0.3363;0.553;0.228;0.219;0.69;0.18;0.13;0.544388671834757;0.22359179473442;0.232019533430823;0.5868;0.2456;0.1675
20/06/2021;5;Palmeiras;2;1;América-MG;H;0.74;0.17;0.09;0.76;0.17;0.07;0.65;0.22;0.13;0.4527;0.3236;0.2236;0.609;0.286;0.104;0.7;0.19;0.11;0.72359510418214;0.215422982201847;0.0609819136160128;0.4921;0.2801;0.2276
20/06/2021;5;Internacional;1;1;Ceará;D;0.57;0.25;0.18;0.61;0.22;0.17;0.48;0.27;0.25;0.3302;0.3992;0.2706;0.483;0.238;0.279;0.56;0.24;0.2;0.56246452266872;0.239998303222319;0.197537174108961;0.5448;0.2677;0.1874
20/06/2021;5;Bahia;0;0;Corinthians;D;0.44;0.32;0.24;0.47;0.26;0.27;0.33;0.34;0.33;0.382;0.2535;0.3645;0.44;0.275;0.285;0.42;0.26;0.31;0.429195746691765;0.274207939105412;0.296596314202823;0.3788;0.3156;0.3054
20/06/2021;5;Santos;2;0;São Paulo;H;0.29;0.36;0.35;0.49;0.28;0.23;0.35;0.31;0.34;0.2905;0.4735;0.236;0.22;0.22;0.56;0.44;0.26;0.29;0.426517344518284;0.27731692572557;0.296165729756147;0.3338;0.2921;0.3739
20/06/2021;5;Fortaleza;1;1;Fluminense;D;0.3;0.33;0.37;0.44;0.28;0.28;0.36;0.25;0.39;0.385;0.3975;0.2175;0.428;0.293;0.279;0.36;0.28;0.36;0.414979624315801;0.290234593559078;0.294785782125121;0.3921;0.3137;0.2941
20/06/2021;5;Athletico-PR;2;1;Atlético-GO;H;0.59;0.24;0.17;0.61;0.24;0.15;0.48;0.34;0.18;0.41;0.27;0.32;0.322;0.313;0.365;0.53;0.26;0.21;0.494368458104269;0.303394913587018;0.202236628308713;0.4465;0.293;0.2604
20/06/2021;5;Juventude;1;0;Sport;H;0.4;0.32;0.28;0.39;0.29;0.32;0.35;0.32;0.33;0.3526;0.3065;0.3409;0.415;0.281;0.304;0.42;0.28;0.3;0.185331157376707;0.281100958090154;0.533567884533138;0.3986;0.2957;0.3056
21/06/2021;5;Atlético-MG;1;1;Chapecoense;D;0.78;0.14;0.08;0.7;0.2;0.1;0.62;0.24;0.14;0.3973;0.3219;0.2808;0.647;0.23;0.123;0.67;0.2;0.13;0.675073338750729;0.202123927784825;0.122802733464446;0.7512;0.1633;0.0853
18/08/2021;5;Cuiabá;0;1;Grêmio;A;0.44;0.3;0.26;0.44;0.3;0.26;;;;;;;0.308;0.302;0.39;0.33;0.3;0.37;0.270464158093493;0.309485425202824;0.420050416703683;0.1977;0.289;0.5132
23/06/2021;6;Flamengo;2;1;Fortaleza;H;0.6;0.26;0.14;0.63;0.22;0.15;0.52;0.3;0.18;0.373;0.3163;0.3107;0.529;0.246;0.225;0.78;0.15;0.07;0.632368014634402;0.207200976908087;0.160431008457511;0.618;0.2364;0.1454
23/06/2021;6;São Paulo;2;2;Cuiabá;D;0.71;0.19;0.1;0.58;0.25;0.17;0.51;0.28;0.21;0.3038;0.4411;0.2551;0.708;0.187;0.105;0.6;0.23;0.17;0.685917480250938;0.226183612520474;0.0878989072285881;0.7073;0.1881;0.1045
23/06/2021;6;Bragantino;3;1;Palmeiras;H;0.31;0.33;0.36;0.46;0.24;0.3;0.39;0.29;0.32;0.3412;0.3947;0.2641;0.407;0.282;0.311;0.41;0.25;0.34;0.443377720425479;0.263142754686126;0.293479524888395;0.3276;0.2923;0.38
24/06/2021;6;Atlético-GO;1;0;Fluminense;H;0.28;0.34;0.38;0.36;0.3;0.34;0.28;0.39;0.33;0.2878;0.5139;0.1983;0.378;0.278;0.343;0.36;0.27;0.37;0.407009937155507;0.297488228019774;0.295501834824719;0.3701;0.3044;0.3254
24/06/2021;6;América-MG;1;1;Juventude;D;0.47;0.33;0.2;0.49;0.28;0.23;0.48;0.34;0.18;0.2685;0.4814;0.2501;0.525;0.275;0.2;0.48;0.26;0.26;0.441561481398925;0.359704940150246;0.198733578450829;0.5114;0.2782;0.2102
24/06/2021;6;Corinthians;2;1;Sport;H;0.5;0.32;0.18;0.57;0.26;0.17;0.38;0.31;0.31;0.3654;0.3481;0.2865;0.61;0.274;0.116;0.53;0.27;0.2;0.552704841000424;0.279600893489923;0.167694265509654;0.5685;0.2516;0.1797
24/06/2021;6;Ceará;2;1;Atlético-MG;H;0.26;0.31;0.43;0.34;0.28;0.38;0.31;0.29;0.4;0.3606;0.2379;0.4014;0.351;0.261;0.387;0.36;0.26;0.38;0.404086765127534;0.25772345083633;0.338189784036136;0.2655;0.2897;0.4446
24/06/2021;6;Chapecoense;1;2;Internacional;A;0.24;0.35;0.41;0.39;0.27;0.34;0.351;0.3;0.349;0.3534;0.3239;0.3227;0.298;0.264;0.438;0.31;0.26;0.43;0.250460503905135;0.28542043223853;0.464119063856334;0.2365;0.2782;0.4851
24/06/2021;6;Grêmio;2;2;Santos;D;0.47;0.26;0.27;0.49;0.27;0.24;0.38;0.34;0.28;0.4388;0.2501;0.3111;0.584;0.243;0.173;0.48;0.26;0.26;0.511764127468731;0.250626963216473;0.237608909314796;0.4967;0.3044;0.1987
24/06/2021;6;Bahia;2;1;Athletico-PR;H;0.37;0.31;0.32;0.4;0.28;0.32;0.339;0.341;0.32;0.364;0.24;0.396;0.482;0.284;0.234;0.4;0.27;0.33;0.351435835071459;0.292336766148605;0.356227398779936;0.4097;0.3284;0.2618
27/06/2021;7;Juventude;1;0;Flamengo;H;0.16;0.23;0.61;0.23;0.26;0.51;0.19;0.28;0.53;0.3784;0.2545;0.3671;0.183;0.212;0.605;0.13;0.18;0.69;0.118290866332183;0.18538982929286;0.696319304374957;0.1099;0.2225;0.6675
27/06/2021;7;Fluminense;1;1;Corinthians;D;0.52;0.26;0.22;0.5;0.29;0.21;0.38;0.34;0.28;0.3958;0.3286;0.2756;0.503;0.284;0.213;0.47;0.27;0.26;0.443616992427269;0.297567873598421;0.258815133974309;0.4557;0.2761;0.268
27/06/2021;7;Palmeiras;3;2;Bahia;H;0.64;0.22;0.14;0.64;0.21;0.15;0.5;0.26;0.24;0.3473;0.3865;0.2662;0.506;0.27;0.224;0.62;0.22;0.16;0.609153602391857;0.220478420589096;0.170367977019047;0.5609;0.2847;0.1542
27/06/2021;7;Grêmio;0;0;Fortaleza;D;0.45;0.33;0.22;0.53;0.25;0.22;0.55;0.27;0.18;0.3219;0.377;0.3011;0.417;0.295;0.288;0.54;0.25;0.21;0.54207562517586;0.253702466247473;0.204221908576667;0.5201;0.2925;0.1872
27/06/2021;7;Athletico-PR;2;2;Chapecoense;D;0.62;0.25;0.13;0.69;0.2;0.11;0.57;0.23;0.2;0.4093;0.3792;0.2115;0.477;0.303;0.22;0.56;0.24;0.2;0.625554893579554;0.248035505899362;0.126409600521084;0.5968;0.2928;0.1102
27/06/2021;7;Santos;2;0;Atlético-MG;H;0.35;0.27;0.38;0.47;0.28;0.25;0.39;0.33;0.28;0.4152;0.2946;0.2902;0.281;0.259;0.46;0.42;0.26;0.32;0.461458933598319;0.250149816793659;0.288391249608022;0.3244;0.3136;0.3618
27/06/2021;7;América-MG;1;1;Internacional;D;0.27;0.34;0.39;0.35;0.29;0.36;0.35;0.29;0.36;0.3052;0.3639;0.3309;0.299;0.276;0.425;0.32;0.26;0.42;0.167630124942294;0.312154279998655;0.52021559505905;0.3125;0.3125;0.375
27/06/2021;7;Ceará;1;1;São Paulo;D;0.31;0.35;0.34;0.45;0.27;0.28;0.39;0.33;0.28;0.5025;0.2193;0.2782;0.349;0.235;0.416;0.39;0.27;0.34;0.410211178207845;0.277962853133916;0.311825968658239;0.2992;0.3092;0.3914
